FECHA,TMAX,TMIN,NOMBRE
2025-08-11,20.5,5.8,TRELEW AERO
2025-08-11,23.6,5.4,TRENQUE LAUQUEN
2025-08-11,18,4.6,TRES ARROYOS
2025-08-11,25,6,TUCUMAN AERO
2025-08-11,6.3,1.7,USHUAIA AERO
2025-08-11,21.6,-3,USPALLATA
2025-08-11,21.8,4.5,VENADO TUERTO AERO
2025-08-11,25.7,5.2,VICTORICA
2025-08-11,23.4,3.8,VIEDMA AERO
2025-08-11,25,2,VILLA DE MARIA DEL RIO SECO
2025-08-11,22.2,6.3,VILLA DOLORES AERO
2025-08-11,17.9,2.8,VILLA GESELL AERO
2025-08-11,26,1.3,VILLA REYNOLDS AERO
2025-08-10,16,7.7,AEROPARQUE AERO
2025-08-10,16.3,-2,AZUL AERO
2025-08-10,20,4.6,BAHIA BLANCA AERO
2025-08-10,10.4,4.7,BARILOCHE AERO
2025-08-10,-10.2,-17.5,BASE BELGRANO II
2025-08-10,0.8,-3,BASE CARLINI (EX JUBANY)
2025-08-10,1.2,-11.5,BASE ESPERANZA
2025-08-10,-5.4,-20.3,BASE MARAMBIO
2025-08-10,0.4,-6.2,BASE ORCADAS
2025-08-10,-1.1,-8.7,BASE SAN MARTIN
2025-08-10,16.2,1.4,BENITO JUAREZ
2025-08-10,16,3.5,BERNARDO DE IRIGOYEN AERO
2025-08-10,18.1,1.8,BOLIVAR AERO
2025-08-10,19.2,5,BUENOS AIRES OBSERVATORIO
2025-08-10,18.1,-1,CAMPO DE MAYO AERO
2025-08-10,24,6.4,CATAMARCA AERO
2025-08-10,21,,CERES AERO
2025-08-10,22,4.8,CHAMICAL AERO
2025-08-10,12,5,CHAPELCO AERO
2025-08-10,22.4,6.1,CHEPES
2025-08-10,,,CHILECITO AERO
2025-08-10,13.2,6,COMODORO RIVADAVIA AERO
2025-08-10,17.7,-0.1,CONCORDIA AERO
2025-08-10,23,2.4,CORDOBA AERO
2025-08-10,22.5,6.5,CORDOBA OBSERVATORIO
2025-08-10,17.5,-3.3,CORONEL SUAREZ AERO
2025-08-10,18.6,4.3,CORRIENTES AERO
2025-08-10,16.4,0.6,DOLORES AERO
2025-08-10,8.7,-0.2,EL BOLSON AERO
2025-08-10,4.4,-3.7,EL CALAFATE AERO
2025-08-10,18.5,-1.5,EL PALOMAR AERO
2025-08-10,,3.5,ESCUELA DE AVIACION MILITAR AERO
2025-08-10,10.1,-0.1,ESQUEL AERO
2025-08-10,17.9,1.6,EZEIZA AERO
2025-08-10,18.7,3.4,FORMOSA AERO
2025-08-10,22.6,4.5,GENERAL PICO AERO
2025-08-10,8,-2.5,GOBERNADOR GREGORES AERO
2025-08-10,18,3.1,GUALEGUAYCHU AERO
2025-08-10,18.6,3,IGUAZU AERO
2025-08-10,19,5,ITUZAINGO
2025-08-10,,,JACHAL
2025-08-10,20,3.5,JUJUY AERO
2025-08-10,19.3,2.2,JUJUY U N
2025-08-10,19.5,-3.6,JUNIN AERO
2025-08-10,16.6,-0.2,LA PLATA AERO
2025-08-10,16.5,-5.8,LA QUIACA OBSERVATORIO
2025-08-10,23.2,4,LA RIOJA AERO
